unitdid,opeid,Graduation_Rate,GR_Group_Low,GR_Group_LowToMedium,GR_Group_MediumToHigh,GR_Group_High,School_CDR,National_Average_CDR,Median_Total_Borrowing,Median_Monthly_Payment,Institution_Group
231059,00369400,81.6,0,37.3,56.7,100,1,13.4,25134,289.24,1
231068,00886000,-2,0,0,0,0,1.7,13.4,,,4
231077,00368500,44.7,0,37.3,56.7,100,4.8,13.4,18623,214.31,1
231086,00369300,19.1,0,37.3,56.7,100,9.7,13.4,20695,238.16,1
231095,02143500,50,0,37.3,56.7,100,7.1,13.4,21131,243.18,1
231147,01193400,-3,0,0,0,0,0,13.4,,,4
231165,00369800,46.7,0,17.7,32.2,100,4,13.4,17500,201.39,2
231174,00369600,72.3,0,37.3,56.7,100,2.5,13.4,23000,264.68,1
231280,03010700,63.9,0,62.5,77.6,100,26.8,13.4,7000,80.56,5
231411,03127500,69.4,0,24.1,50.1,100,23.5,13.4,17346,199.62,3
231420,00370200,41,0,37.3,56.7,100,12.1,13.4,18831,216.71,1
231536,00681900,20.6,0,17.7,32.2,100,11.6,13.4,6700,77.1,2
231554,00370300,35.9,0,37.3,56.7,100,9.2,13.4,18750,215.78,1
231581,00370400,58.5,0,37.3,56.7,100,6.3,13.4,23000,264.68,1
231624,00370500,90.7,0,37.3,56.7,100,1,13.4,18375,211.46,1
231651,03091300,33.3,0,37.3,56.7,100,4.6,13.4,22225,255.77,1
231688,02128700,40,0,62.5,77.6,100,0,13.4,,,5
231697,00498800,20.1,0,24.1,50.1,100,0,13.4,2625,30.21,3
231712,00370600,63.2,0,37.3,56.7,100,3.5,13.4,19500,224.41,1
231721,02538800,30.4,0,62.5,77.6,100,23.5,13.4,5750,66.17,5
231785,00267811,14.9,0,17.7,32.2,100,23.4,13.4,11250,129.47,2
231828,00267812,23.1,0,17.7,32.2,100,23.4,13.4,11250,129.47,2
231837,00662200,10,0,37.3,56.7,100,4.4,13.4,20000,230.16,1
231873,00499600,30.2,0,24.1,50.1,100,19.6,13.4,4750,54.66,3
231882,00375800,19.3,0,24.1,50.1,100,17.7,13.4,3500,40.28,3
231970,01033800,-2,0,0,0,0,0,13.4,,,4
232016,02334400,55.3,0,17.7,32.2,100,35,13.4,10312,118.67,2
232025,00370900,59.2,0,37.3,56.7,100,11.3,13.4,19486,224.25,1
232043,00370800,66.3,0,37.3,56.7,100,4.5,13.4,17681,203.47,1
232052,00374800,25.7,0,24.1,50.1,100,0,13.4,,,3
232089,00371100,31.2,0,37.3,56.7,100,21.6,13.4,17588,202.4,1
232186,00374900,64.5,0,37.3,56.7,100,2.6,13.4,16782,193.13,1
232195,00866000,16.5,0,24.1,50.1,100,0,13.4,3653,42.04,3
232256,00371300,66.6,0,37.3,56.7,100,5.3,13.4,25000,287.7,1
232265,00371400,54.9,0,37.3,56.7,100,13,13.4,29074,334.58,1
232308,00371500,62.5,0,37.3,56.7,100,4.5,13.4,23000,264.68,1
232414,00375900,9.1,0,17.7,32.2,100,16.6,13.4,7183,82.66,2
232423,00372100,81.4,0,37.3,56.7,100,2.6,13.4,21000,241.67,1
232450,00400400,12.7,0,17.7,32.2,100,15.6,13.4,5718,65.8,2
232502,00926700,55.4,0,24.1,50.1,100,33.1,13.4,9500,109.33,3
232557,02053000,46.7,0,37.3,56.7,100,7.1,13.4,13000,149.6,1
232566,00371900,60.3,0,37.3,56.7,100,5.2,13.4,20177,232.2,1
232575,00865900,25.7,0,24.1,50.1,100,0,13.4,4362,50.2,3
232593,00859200,-2,0,62.5,77.6,100,0,13.4,,,5
232609,00372000,52.1,0,37.3,56.7,100,6.3,13.4,23000,264.68,1
232618,02175800,53.3,0,62.5,77.6,100,7.8,13.4,9500,109.33,5
232672,00372300,49.4,0,37.3,56.7,100,6.4,13.4,25000,287.7,1
232681,00374600,70.6,0,37.3,56.7,100,2.1,13.4,18509,213,1
232706,00372400,47.9,0,37.3,56.7,100,3.7,13.4,23737,273.17,1
232724,02111600,-2,0,62.5,77.6,100,12,13.4,12250,140.97,5
232788,00962900,20.1,0,24.1,50.1,100,0,13.4,,,3
232797,00372600,34.9,0,17.7,32.2,100,13.1,13.4,17016,195.82,2
232867,00522300,21.2,0,17.7,32.2,100,20.2,13.4,5237,60.27,2
232885,03106500,-2,0,24.1,50.1,100,5.8,13.4,16250,187.01,3
