ZIP,BAH,Terroritory,MHA
08028,1758,,PA248
08029,1758,,PA248
08030,1758,,PA248
08031,1758,,PA248
08032,1758,,PA248
08033,1758,,PA248
08034,1758,,PA248
08035,1758,,PA248
08036,1758,,PA248
08037,1536,,NJ196
08038,1758,,PA248
08039,1758,,PA248
08041,1542,,NJ204
08042,1542,,NJ204
08043,1758,,PA248
08045,1758,,PA248
08046,1758,,PA248
08048,1758,,PA248
08049,1758,,PA248
08050,1542,,NJ204
08051,1758,,PA248
08052,1758,,PA248
08053,1758,,PA248
08054,1758,,PA248
08055,1758,,PA248
08056,1758,,PA248
08057,1758,,PA248
08059,1758,,PA248
08060,1542,,NJ204
08061,1758,,PA248
08062,1758,,PA248
08063,1758,,PA248
08064,1542,,NJ204
08065,1758,,PA248
08066,1758,,PA248
08067,1758,,PA248
08068,1542,,NJ204
08069,1758,,PA248
08070,1758,,PA248
08071,1758,,PA248
08072,1758,,PA248
08073,1758,,PA248
08074,1758,,PA248
08075,1758,,PA248
08076,1758,,PA248
08077,1758,,PA248
08078,1758,,PA248
08079,1758,,PA248
08080,1758,,PA248
08081,1758,,PA248
08083,1758,,PA248
08084,1758,,PA248
08085,1758,,PA248
08086,1758,,PA248
08087,1542,,NJ204
08088,1542,,NJ204
08089,1758,,PA248
08090,1758,,PA248
08091,1758,,PA248
08092,1542,,NJ204
08093,1758,,PA248
08094,1758,,PA248
08095,1758,,PA248
08096,1758,,PA248
08097,1758,,PA248
08098,1758,,PA248
08099,1758,,PA248
08101,1758,,PA248
08102,1758,,PA248
08103,1758,,PA248
08104,1758,,PA248
08105,1758,,PA248
08106,1758,,PA248
08107,1758,,PA248
08108,1758,,PA248
08109,1758,,PA248
08110,1758,,PA248
08201,1536,,NJ196
08202,1392,,NJ198
08203,1536,,NJ196
08204,1392,,NJ198
08205,1536,,NJ196
08210,1392,,NJ198
08212,1392,,NJ198
08213,1536,,NJ196
08214,1392,,NJ198
08215,1536,,NJ196
08217,1536,,NJ196
08218,1392,,NJ198
08219,1392,,NJ198
08220,1536,,NJ196
08221,1536,,NJ196
08223,1392,,NJ198
08224,1542,,NJ204
08225,1536,,NJ196
08226,1392,,NJ198
08230,1392,,NJ198
08231,1536,,NJ196
08232,1536,,NJ196
08234,1536,,NJ196
08240,1536,,NJ196
08241,1536,,NJ196
08242,1392,,NJ198
08243,1392,,NJ198
08244,1536,,NJ196
08245,1392,,NJ198
08246,1392,,NJ198
08247,1392,,NJ198
08248,1392,,NJ198
08250,1392,,NJ198
08251,1392,,NJ198
08252,1392,,NJ198
08260,1392,,NJ198
08270,1392,,NJ198
08302,1392,,NJ198
08310,1536,,NJ196
08311,1392,,NJ198
08312,1758,,PA248
08313,1392,,NJ198
08314,1392,,NJ198
08315,1392,,NJ198
08316,1392,,NJ198
08317,1536,,NJ196
08318,1758,,PA248
08319,1536,,NJ196
08320,1392,,NJ198
08321,1392,,NJ198
08322,1758,,PA248
08323,1392,,NJ198
08324,1392,,NJ198
08326,1536,,NJ196
08327,1392,,NJ198
08328,1758,,PA248
08329,1392,,NJ198
08330,1536,,NJ196
08332,1392,,NJ198
08340,1536,,NJ196
08341,1536,,NJ196
08342,1536,,NJ196
08343,1758,,PA248
08344,1758,,PA248
08345,1392,,NJ198
08346,1536,,NJ196
08347,1758,,PA248
08348,1392,,NJ198
08349,1392,,NJ198
08350,1536,,NJ196
08352,1392,,NJ198
08353,1392,,NJ198
08360,1392,,NJ198
08361,1392,,NJ198
08362,1392,,NJ198
08401,1536,,NJ196
08402,1536,,NJ196
08403,1536,,NJ196
08404,1536,,NJ196
08405,1536,,NJ196
08406,1536,,NJ196
08501,1986,,NJ200
08502,1989,,NJ201
08504,1989,,NJ201
08505,1494,,NJ203
08510,1986,,NJ200
08511,1542,,NJ204
08512,1989,,NJ201
08514,1986,,NJ200
08515,1494,,NJ203
08518,1758,,PA248
08520,1494,,NJ203
08525,1494,,NJ203
08526,1986,,NJ200
08527,1542,,NJ204
08528,1989,,NJ201
08530,1494,,NJ203
08533,1542,,NJ204
08534,1494,,NJ203
08535,1986,,NJ200
08536,1989,,NJ201
08540,1494,,NJ203
08541,1494,,NJ203
08542,1494,,NJ203
08543,1494,,NJ203
08544,1494,,NJ203
08550,1494,,NJ203
08551,1494,,NJ203
08553,1989,,NJ201
08554,1758,,PA248
08555,1986,,NJ200
08556,1494,,NJ203
08557,1494,,NJ203
08558,1989,,NJ201
08559,1494,,NJ203
08560,1494,,NJ203
08561,1494,,NJ203
08562,1542,,NJ204
08601,1494,,NJ203
08602,1494,,NJ203
08603,1494,,NJ203
08604,1494,,NJ203
08605,1494,,NJ203
08606,1494,,NJ203
08607,1494,,NJ203
08608,1494,,NJ203
08609,1494,,NJ203
08610,1494,,NJ203
08611,1494,,NJ203
08618,1494,,NJ203
08619,1494,,NJ203
08620,1494,,NJ203
08625,1494,,NJ203
08628,1494,,NJ203
08629,1494,,NJ203
08638,1494,,NJ203
08640,1542,,NJ204
08641,1542,,NJ204
08645,1494,,NJ203
08646,1494,,NJ203
08647,1494,,NJ203
08648,1494,,NJ203
08650,1494,,NJ203
08666,1494,,NJ203
08690,1494,,NJ203
08691,1494,,NJ203
08695,1494,,NJ203
08701,1542,,NJ204
08720,1986,,NJ200
08721,1542,,NJ204
08722,1542,,NJ204
08723,1542,,NJ204
08724,1542,,NJ204
08730,1986,,NJ200
08731,1542,,NJ204
08732,1542,,NJ204
08733,1542,,NJ204
08734,1542,,NJ204
08735,1986,,NJ200
08736,1986,,NJ200
08738,1986,,NJ200
08739,1986,,NJ200
08740,1542,,NJ204
08741,1542,,NJ204
08742,1986,,NJ200
08750,1986,,NJ200
08751,1986,,NJ200
08752,1986,,NJ200
08753,1542,,NJ204
08754,1542,,NJ204
08755,1542,,NJ204
08756,1542,,NJ204
08757,1542,,NJ204
08758,1542,,NJ204
08759,1542,,NJ204
08801,1494,,NJ203
08802,1494,,NJ203
08803,1494,,NJ203
08804,1494,,NJ203
